package	version	repository	optional	size	sha256	url
aapt	16.0.0.4-1	main	false	450512	8522f2d32078105fe8edaf5dc9413cfc566e9c4419b5427a61c0019d49f172c0	https://packages.termux.dev/apt/termux-main/pool/main/a/aapt/aapt_16.0.0.4-1_aarch64.deb
abseil-cpp	20260526.0	main	false	1197740	e489fac652cddc39d9436141e627285f1034a545a06fbb19c420514a419ad877	https://packages.termux.dev/apt/termux-main/pool/main/a/abseil-cpp/abseil-cpp_20260526.0_aarch64.deb
alsa-lib	1.2.16.1	main	false	453056	34d850de4cf6a832b638a125ac2b029a46697e7a44c66f88fb388486c93314a5	https://packages.termux.dev/apt/termux-main/pool/main/a/alsa-lib/alsa-lib_1.2.16.1_aarch64.deb
attr	2.6.0	main	false	56188	50a4d1238564a49985d398061ef61a0020348ddc84bd296e6450c5f0bdca2435	https://packages.termux.dev/apt/termux-main/pool/main/a/attr/attr_2.6.0_aarch64.deb
bash	5.3.15	main	false	956108	15f8fef866dad70f675c520d5f56d718a1b1c0cffe9f14e20fff8f8249377d46	https://packages.termux.dev/apt/termux-main/pool/main/b/bash/bash_5.3.15_aarch64.deb
binutils	2.47	main	false	2445400	332175eb2621c591f4ef80e335ddd42af8fef0d34cccd28123fc19ace8be8f74	https://packages.termux.dev/apt/termux-main/pool/main/b/binutils/binutils_2.47_aarch64.deb
brotli	1.2.0	main	false	340592	db1502601d40fb44e6085ad8bfd9311a8b472e98db831ceec9d404c5708bb52c	https://packages.termux.dev/apt/termux-main/pool/main/b/brotli/brotli_1.2.0_aarch64.deb
bzip2	1.0.8-8	main	false	26152	7b904d820c34b6c043067ca3c8cb67465413ea5eae3f529a0e05a9ae0df2b89a	https://packages.termux.dev/apt/termux-main/pool/main/b/bzip2/bzip2_1.0.8-8_aarch64.deb
c-ares	1.34.8	main	false	194924	7681fc23e822d7988ba8b2adf3468f93ae68f724dda365cff1385096a9fa87e6	https://packages.termux.dev/apt/termux-main/pool/main/c/c-ares/c-ares_1.34.8_aarch64.deb
ca-certificates	1:2026.07.16	main	false	104212	93dc49a8009012c29510081b8f07f30c57af9b10b1dae4f541231d8ee785b37a	https://packages.termux.dev/apt/termux-main/pool/main/c/ca-certificates/ca-certificates_1%3A2026.07.16_all.deb
clang	21.1.8-3	main	false	30740228	9fb565013b96ce10abd8f8f217aaebb48f72873f53acbf8886329bcea841a21c	https://packages.termux.dev/apt/termux-main/pool/main/c/clang/clang_21.1.8-3_aarch64.deb
cloudflared	2026.7.3-1	main	false	6486420	08e6f2d12a32937879288b92b1ce1c0e990e1e4068be7d9655eda45aea4791af	https://packages.termux.dev/apt/termux-main/pool/main/c/cloudflared/cloudflared_2026.7.3-1_aarch64.deb
cmake	4.4.2	main	false	10628408	37b47dd69c771d3cab8fb45f6c9505ad8006a9fc05abfdfcd694f163e047ca25	https://packages.termux.dev/apt/termux-main/pool/main/c/cmake/cmake_4.4.2_aarch64.deb
coreutils	9.11-1	main	false	813864	5fe326e19256ac2f0a2b278e780e26a848746a43ff37105cbdeddd4c527ccf57	https://packages.termux.dev/apt/termux-main/pool/main/c/coreutils/coreutils_9.11-1_aarch64.deb
curl	8.21.0	main	false	242488	6274522e6f172678ffbb70aa9fc82bb547117f3ba56f337735a44d19aaee9f40	https://packages.termux.dev/apt/termux-main/pool/main/c/curl/curl_8.21.0_aarch64.deb
dash	0.5.12-2	main	false	65836	47d1ffce6c74fd7b3201162f26e7449f69c96bbd0aee4bf60e80ea2ba6708839	https://packages.termux.dev/apt/termux-main/pool/main/d/dash/dash_0.5.12-2_aarch64.deb
dbus	1.16.2-3	main	false	428952	1b6d5e349708414acbbb1404210e32d4e3f390890d02e162639dec1016a8657b	https://packages.termux.dev/apt/termux-main/pool/main/d/dbus/dbus_1.16.2-3_aarch64.deb
dialog	1.3-20260107-1	main	false	100652	78a1c4e57ce8dc94b3d8d812d918796168484c18992fafa9f03adec10d7a634c	https://packages.termux.dev/apt/termux-main/pool/main/d/dialog/dialog_1.3-20260107-1_aarch64.deb
diffutils	3.12-2	main	false	162672	ab039ac163550ebb73a601f104da2dfb8bbd26f028086821c48edaa2384e68d2	https://packages.termux.dev/apt/termux-main/pool/main/d/diffutils/diffutils_3.12-2_aarch64.deb
espeak	1.52.0-1	main	false	8843796	e8a73c52e95489d3da9bb46117f3e2078000f24da8e4723dc1d6a77ef6642a89	https://packages.termux.dev/apt/termux-main/pool/main/e/espeak/espeak_1.52.0-1_aarch64.deb
